"Feature","Grupo","Tipo","Teste","Estatistica","Pvalor","Efeito"
"CRP","Laboratorio","Numerica","Wilcoxon",3551,8.35883792125352e-16,-1.28
"VitaminD","Laboratorio","Numerica","Wilcoxon",11638.5,5.93683282040381e-09,8.5
"AST","Laboratorio","Numerica","Wilcoxon",10625,3.88427397927084e-05,3
"TBFR","Bioimpedancia","Numerica","Wilcoxon",6213.5,0.000842333197320127,-5.41
"LM","Bioimpedancia","Numerica","Wilcoxon",10140,0.00100669015131072,5.39999999999999
"HFA","HFA","Categorica","Fisher",NA,0.00107909285867028,0.130928401391686
"BM","Bioimpedancia","Numerica","Wilcoxon",10093,0.00130372439211536,0.3
"TFC","Bioimpedancia","Numerica","Wilcoxon",6468.5,0.00363734891774377,-4.5
"ECF_TBW","Bioimpedancia","Numerica","Wilcoxon",9787.5,0.00686421595918942,0
"VFA","Bioimpedancia","Numerica","Wilcoxon",6630.5,0.00842527937727845,-2.07
"HDL","Laboratorio","Numerica","Wilcoxon",6631.5,0.00844000592956923,-3
"ECW","Bioimpedancia","Numerica","Wilcoxon",9728.5,0.00947224907620071,0.5
"Hyperlipidemia","Historia","Categorica","Fisher",NA,0.0140269180775156,0.047244094488189
"HGB","Laboratorio","Numerica","Wilcoxon",9509,0.0261512601636163,0.5
"BMI","Antropometria","Numerica","Wilcoxon",7057.5,0.0556588810349635,-1.4
"Gender","Historia","Categorica","Qui-quadrado",3.50159385857149,0.0613097970690361,0.116828419703351
"Creatinine","Laboratorio","Numerica","Wilcoxon",9269.5,0.0688209468187194,0.07
"Height","Antropometria","Numerica","Wilcoxon",9063,0.141175262104608,4
"DM","Historia","Categorica","Qui-quadrado",2.12743097072777,0.144683068367447,0.0648232924372826
"Glucose","Laboratorio","Numerica","Wilcoxon",8947,0.202222608224414,3
"TBW","Bioimpedancia","Numerica","Wilcoxon",8939.5,0.206961453406813,2.5
"Weight","Antropometria","Numerica","Wilcoxon",7543,0.273966283804327,-3
"LDL","Laboratorio","Numerica","Wilcoxon",8837,0.276163897882343,4
"ALP","Laboratorio","Numerica","Wilcoxon",7604,0.321601428082357,-4
"Age","Historia","Numerica","Wilcoxon",7620.5,0.335252100481224,-2
"MM","Bioimpedancia","Numerica","Wilcoxon",8665,0.424555902018754,0.800000000000004
"Protein","Bioimpedancia","Numerica","Wilcoxon",8646.5,0.442902357320212,0.389999999999999
"Hypothyroidism","Historia","Categorica","Fisher",NA,0.446717315809999,0.0230116584264176
"VMA","Bioimpedancia","Numerica","Wilcoxon",8505.5,0.596614323250959,0.105405409999999
"ALT","Laboratorio","Numerica","Wilcoxon",8475.5,0.631952169483742,1
"Triglyceride","Laboratorio","Numerica","Wilcoxon",8440,0.675441316317931,0
"VFR","Bioimpedancia","Numerica","Wilcoxon",8054,0.816531713840582,0
"ICW","Bioimpedancia","Numerica","Wilcoxon",8315.5,0.834822726491456,0.699999999999999
"Obesity","Bioimpedancia","Numerica","Wilcoxon",8315,0.83550108020311,-0.699999999999999
"GFR","Laboratorio","Numerica","Wilcoxon",8312.5,0.838797554887358,2.12
"Comorbidity","Historia","Categorica","Fisher",NA,0.865221518845837,0.00775193798449612
"TC","Laboratorio","Numerica","Wilcoxon",8284,0.876565353171221,6
"CAD","Historia","Categorica","Fisher",NA,1,0.000366233290606033
